No.,Height [level],Fur Density [furs/cm^2],Fur Arrangement,Number of Drops,Needle,Fur Sample,Fur Type,Fur Orientation,Replication,Camera Settings,Lighting,Names,Notes,Resolution [pixels/mm],Steady State Penetration Depth [mm],Maximum Penetration Depth [mm],Droplet Final Spread [mm],Droplet Maximum Spread [mm],Droplet Velocity [m/s],Droplet Diameter [mm],Steady State Dome Height [mm],Minimum Dome Height [mm],Volume Below Fur at Max. Spread [mm^3],Video Index of Max. Spread,Delta_pos,Delta_spread,Delta_Pen,Delta_DomeHeight,Tausp,Tausx,Taush,Tauss,Taumaxspread,Date,Filename,Initial Impact Classification,Steady-State Impact Classification,Video Quality,No. of Levels (Steady Penet Depth),No. of Levels (Max. Penet Depth),Weber #,Comments
h94,2,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,bottom facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,28.5,1.789473684,2.631578947,4.175438596,6,0.569057725,2.917379404,2.035087719,0.8070175439,16.01963824,86,0.1669019946,1.263157895,-0.9824561404,3.157894737,3.951612903,8.306451613,11.20967742,,1.75552056,03/23/2023,h5_E1_4_16,"D, W",JIB,,,,,
h95,2,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,bottom facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.1,2.714776632,3.505154639,5.463917526,6.013745704,0.5450448749,2.774245396,0,0,22.35955933,82,0.08784073746,2.508591065,0,0,3.283410138,4.52764977,7.292626728,,1.571727939,03/23/2023,h5_E1_4_17,"E, W",JRS,,,,,
h96,2,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,bottom facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,28,2.857142857,3.607142857,5.678571429,6.214285714,0.5882987444,2.825947186,0.9642857143,0.6428571429,21.7131848,75,0.2959577792,2.678571429,0.03571428571,,,,,,,03/23/2023,h5_E1_4_18,"E, W",DRSH,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h97,2,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,bottom facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,27.6,4.347826087,5.18115942,4.637681159,4.927536232,0.5635849658,2.938183363,0,0,26.56227716,83,0.07454312874,1.739130435,0,0,3.588709677,7.459677419,1.008064516,,1.598450743,03/23/2023,h5_E1_5_16,"E, i",ih,,,,,
h98,2,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,bottom facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,30.6,3.954248366,3.954248366,5,5.130718954,0.5159828637,2.637786917,0,0,19.21975059,132,0.1765938746,1.928104575,0,0,0.4147465438,9.815668203,2.626728111,,5.151116892,03/23/2023,h5_E1_5_17,"E, i",ih,,,,,
h99,2,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,bottom facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,30.6,3.954248366,4.705882353,3.921568627,4.31372549,0.5164632903,2.646261757,0.1633986928,0,19.40559751,78,0.02384110348,1.60130719,0,0.2614379085,5.443548387,7.620967742,5.685483871,,2.276949753,03/23/2023,h5_E1_5_18,"E, i",ih,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h100,2,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,bottom facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,31.8,1.037735849,1.037735849,4.622641509,5.377358491,0.5053650174,2.672494205,1.603773585,0.6603773585,8.274230334,55,0.1238854008,1.886792453,-0.3459119497,2.672955975,0.4838709677,19.00921659,22.74193548,,1.134591835,04/19/2023,h5_E1_6_16,"D, W",ST (2),,,,,
h101,2,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,bottom facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,31.5,1.206349206,1.206349206,4.73015873,5.587301587,0.4756258235,2.71531249,1.523809524,0.5079365079,12.59239349,65,0.1135044954,1.904761905,-0.3174603175,2.476190476,0.5184331797,20.79493088,22.75345622,,1.050985826,04/19/2023,h5_E1_6_17,"D, W",ST (2),,,,,
h102,2,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,bottom facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.4,1.224489796,1.224489796,4.761904762,6.088435374,0.5187859759,2.921062951,1.56462585,0.612244898,9.008723523,57,0.1485679151,1.666666667,-0.3401360544,2.585034014,1.209677419,17.6843318,15.03456221,,3.315233203,04/19/2023,h5_E1_6_18,"D, W",ST (2),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h103,2,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,bottom facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,27.9,3.333333333,3.333333333,5.125448029,6.200716846,0.6273649607,2.873108953,0.1075268817,0,24.83618603,83,0.05858389239,2.329749104,-0.5734767025,0.1075268817,1.555299539,4.665898618,4.665898618,,1.67407436,06/06/2023,h5_E1_7_16,"E, W",DRSH,,,,,
h104,2,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,bottom facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,27.9,2.652329749,2.652329749,5.340501792,5.806451613,0.6018550092,2.858743345,0.2150537634,0,24.46550124,77,0.07143986076,2.759856631,-0.394265233,0.2150537634,0.3168202765,6.94124424,5.90437788,,1.473719238,06/06/2023,h5_E1_7_17,"E, W",JLRH,,,,,
h105,2,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,bottom facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,27.3,4.065934066,4.065934066,5.238095238,6.153846154,0.6127382932,2.862783928,0,0,26.30029956,68,0.05889867868,2.344322344,0,0,0.5241935484,5.201612903,6.330645161,,1.719055852,06/06/2023,h5_E1_7_18,"E, W",DRSH,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h106,2,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,bottom facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,27.3,3.919413919,3.919413919,4.285714286,5.311355311,0.6308448636,2.916712,0.1831501832,0,25.98419479,80,0.04148006453,0.9523809524,0,0.293040293,0.2016129032,8.726958525,6.710829493,,1.874481317,06/06/2023,h5_E1_8_16,"E, W",SDRD,good,,,,
h107,2,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,bottom facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,28.2,3.829787234,3.829787234,3.90070922,4.858156028,0.6645235893,2.792740399,0,0,22.80973922,65,0.1360345518,0.9929078014,0,0,0.3168202765,9.014976959,5.097926267,,1.506996283,06/06/2023,h5_E1_8_17,"E, W",DRSH,good,,,,
h108,2,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,bottom facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,27,3.962962963,3.962962963,4.592592593,4.962962963,0.6487916488,2.934417716,0,0,26.46027942,92,0.1127810602,1.962962963,0,0,0.2822580645,10.68548387,1.733870968,,1.989875131,06/06/2023,h5_E1_8_18,"E, i",NR,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h109,3,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,28.8,4.791666667,4.791666667,5.451388889,5.590277778,0.7615794898,2.965113772,0.4166666667,0.1736111111,27.29937497,60,0.5008600752,2.291666667,0,0.4166666667,0,3.905529954,6.186635945,,1.712310889,03/23/2023,h5_E1_3_19,"E, W",SDRD,,,,,
h110,3,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.8,3.859060403,3.859060403,5.67114094,5.939597315,0.7446453876,2.86537868,0.4362416107,0.2013422819,24.63625517,61,0.05731402304,2.11409396,0,0.4362416107,0,2.402073733,11.56105991,,1.819137467,03/23/2023,h5_E1_3_20,"E, W",SDRD,,,,,
h111,3,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.4,2.993197279,2.993197279,6.598639456,6.734693878,0.7738008024,2.860222449,0.3401360544,0.3401360544,23.17585139,57,0.07833879505,3.027210884,0,0.612244898,0,2.908986175,4.521889401,,1.893770751,03/23/2023,h5_E1_3_21,"D, W",SDRD,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h112,3,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto*,,29.7,3.501683502,3.737373737,5.084175084,5.757575758,0.8271526453,2.828630149,0,0,23.70047859,67,0.1098663472,2.491582492,0.6060606061,0,19.59677419,9.112903226,6.048387097,,2.144425303,03/28/2023,h5_E1_4_19,"E, W",JRS,decent,,,,
h113,3,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto*,,28.2,3.014184397,3.04964539,5.460992908,6.524822695,0.8375052149,2.967562501,0,0,27.36706613,57,0.069446189,2.482269504,0,0,3.513824885,6.394009217,6.278801843,,2.163685958,03/28/2023,h5_E1_4_20,"E, W",JRS,,,,,
h114,3,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto*,,28.8,2.951388889,2.986111111,5.381944444,6.319444444,0.8404304029,2.90001303,0,0,25.54044535,54,0.1271916846,2.326388889,0,0,0.7603686636,8.225806452,6.152073733,,2.221817519,03/28/2023,h5_E1_4_21,"E, W",JRS,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h115,3,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,32.7,3.79204893,4.250764526,4.311926606,4.525993884,0.7313237221,2.565159766,0.244648318,0,17.67550685,67,0.001883214294,1.896024465,-0.1529051988,0.244648318,26.8202765,13.3640553,5.253456221,,2.660921228,03/28/2023,h5_E1_5_19,"E, i",ih,decent,,,,
h116,3,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.7,5.723905724,6.195286195,4.410774411,4.747474747,0.826446281,2.795367338,0,0,22.87416647,54,0.04508987836,1.851851852,0.03367003367,0,9.919354839,23.9516129,2.016129032,,3.252133974,03/28/2023,h5_E1_5_20,"E, i",ih,,,,,
h117,3,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,32.1,5.264797508,5.732087227,4.174454829,4.6105919,0.733782298,2.628878846,0,0,19.02568637,65,0.01186569874,1.775700935,0.03115264798,0,9.884792627,12.92626728,2.419354839,,3.163401535,03/28/2023,h5_E1_5_21,"E, i",ih,"less clear, bad example",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h118,3,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,31.8,1.006289308,1.509433962,5.786163522,6.41509434,0.7623303542,2.407906559,1.163522013,0.534591195,-3.886538284,50,0.03515136383,2.830188679,0.1257861635,1.855345912,1.612903226,3.640552995,8.525345622,,2.216162608,06/06/2023,h5_E1_6_19,"D, W","JLRH, ST(2)",,,,,
h119,3,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,29.7,1.077441077,1.077441077,5.420875421,6.565656566,0.8318903319,2.799909928,1.346801347,0.6060606061,3.483471087,43,0.08308683579,2.053872054,-0.2356902357,2.188552189,1.192396313,10.62788018,16.64170507,,1.683641737,06/06/2023,h5_E1_6_20,"D, W","JLRH, ST(2)",,,,,
h120,3,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,29.4,1.734693878,1.734693878,5.74829932,6.530612245,0.7995626822,2.630722379,1.054421769,0.4761904762,5.304373568,55,0.08129512495,1.734693878,-0.306122449,1.734693878,0.5069124424,8.156682028,7.97235023,,1.823596489,06/06/2023,h5_E1_6_21,"D, W",JLRH,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h121,3,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,29.1,2.852233677,2.852233677,5.154639175,6.357388316,0.8091084174,2.668700821,0.3436426117,0.2405498282,19.14004555,42,0.1295594333,2.749140893,0,0.5154639175,0.08640552995,6.192396313,8.093317972,,1.718044849,06/06/2023,h5_E1_7_19,"D, W",JLRH,,,,,
h122,3,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,27.9,2.186379928,2.222222222,4.910394265,5.627240143,0.843923102,2.629804297,0.2508960573,0.1433691756,19.04578642,35,0.06626776339,2.365591398,0.03584229391,0.2508960573,2.834101382,7.258064516,7.811059908,,1.925443128,06/06/2023,h5_E1_7_20,"E, W",JLRH,,,,,
h123,3,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,30.9,2.006472492,2.006472492,6.084142395,6.44012945,0.7836338419,2.443178732,0.6148867314,0.3236245955,14.17955004,58,0.01891059383,3.074433657,0,0.8414239482,0.5241935484,7.540322581,13.66935484,,2.672862992,06/06/2023,h5_E1_7_21,"D, W",JLRH,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
